,Longitude,Latitude,Month,Season,DayofWeek,Workday,Hour,PRECIPITATION,MIN_TEMPERATURE,Target
1417,-114.11299726434069,51.16767261366539,8,Winter,3,Weekday,17,0,-14.3,0
946,-114.07304713884871,50.92129519272915,11,Summer,5,Weekday,18,0,8.4,0
711,-114.06015014450331,50.860399506527294,5,Summer,6,Weekend,11,0,12.4,0
100,-114.05998933773591,51.00349030359659,9,Summer,0,Weekday,7,0,6.9,0
1004,-113.98271079493034,50.88217690278116,9,Summer,6,Weekend,23,0,-10.5,0
439,-113.9811582,51.04811149,4,Winter,4,Weekday,21,0,-5.1,1
28,-114.07559966351236,50.94509537109075,10,Summer,2,Weekday,0,0,-17.1,1
747,-114.09530734740008,50.96360932491194,4,Summer,2,Weekday,8,1,3.2,0
425,-113.93913040139229,50.99788572266578,8,Summer,6,Weekend,15,1,6.7,0
852,-114.1262689,50.99272065,5,Winter,6,Weekend,12,1,9.2,1
730,-113.9609788,51.15837975,12,Winter,3,Weekday,17,0,-8.5,1
1023,-113.9795742,50.89227202,5,Winter,6,Weekend,20,0,0.8,1
881,-114.1841380236616,51.062374301803395,8,Winter,6,Weekend,7,1,-13.4,0
1124,-113.98519635232894,50.918377479935316,10,Summer,0,Weekday,10,0,-9.7,0
1192,-114.10637557694818,51.066616869639795,8,Summer,6,Weekend,19,1,12.9,0
1062,-114.11631949264218,50.99959313109239,8,Summer,3,Weekday,16,0,-11.2,0
